ID,Algal.Mat.Coverage,Cl_mgL,Dam.Upstream.Site,del18O_permil,del2H_permil,Depositional.Type,F_mgL,General_Vegetation,Hydrogeomorphology,Intermittent_or_Perennial,Macrophyte.Coverage,NO2_mgL,NO3_mgL,NPOC_mg.L.asC,Number.Days.Since.Precip,Precipitation.Within.Week,Primary.Sources.Flow.Variation,resprate_mg.L.h,Sediment_Bedrock,Stream_Order,Sunlight.Access_Perc.Canopy.Cover,Water.Column.Height_cm,altS,MAT,MAP,cluster
SED_S19S.0025_U_Field,2,100.78,1,-4.11,-25.9,3,0.19,13,2,1,3,0.04,0.12,11.06,0,1,20,7.68,1,3,4,5.5,1188,10.3,426,sed_2
SED_S19S.0026_M_Field,3,0.16,1,-17.17,-125.8,8,0.04,13,1,1,2,0.04,0.12,11.73,0,1,18,1.07,4,1,3,7,297,16.2,1008,sed_2
SED_S19S.0026_U_Field,3,0.16,1,-17.17,-125.8,3,0.04,13,1,1,2,0.04,0.12,9.26,0,1,18,1.85,4,1,3,17,297,16.2,1008,sed_2
SED_S19S.0027_D_Field,3,0.2,1,-16.04,-121.5,1,0.04,4,1,1,2,0.04,0.12,10.47,1,1,1,0.41,3,1,3,16,297,16.2,1008,sed_2
SED_S19S.0027_M_Field,3,0.2,1,-16.04,-121.5,8,0.04,4,1,1,2,0.04,0.12,15.12,1,1,1,0.84,3,1,4,9,284,17.8,836,sed_2
SED_S19S.0027_U_Field,3,0.2,1,-16.04,-121.5,3,0.04,4,1,1,2,0.04,0.12,13.41,1,1,1,1.95,3,1,2,10,284,17.8,836,sed_0
SED_S19S.0028_D_Field,2,10.98,1,-8.44,-59.3,1,0.57,3,3,3,3,0.04,0.12,11.39,0,1,18,3.15,1,4,3,12,284,17.8,836,sed_0
SED_S19S.0029_D_Field,3,10.25,1,1,1,1,0.12,8,1,1,1,0.04,0.24,14.91,5,1,18,26.7,3,3,3,6.5,3033,0.9,646,sed_2
SED_S19S.0029_M_Field,2,10.25,1,1,1,4,0.12,8,1,1,1,0.04,0.24,31.55,5,1,18,39.84,3,3,2,2,3033,0.9,646,sed_0
SED_S19S.0029_U_Field,3,10.25,1,1,1,1,0.12,8,1,1,1,0.04,0.24,10.93,5,1,18,3.58,3,3,3,12,3049,0.4,616,sed_2
SED_S19S.0030_M_Field,3,0.67,1,-10.36,-70.1,1,0.03,13,1,1,1,0.04,0.24,12.24,2,1,18,1,3,2,1,9,3049,0.4,616,sed_1
SED_S19S.0030_U_Field,3,0.67,1,-10.36,-70.1,8,0.03,13,1,1,1,0.04,0.24,6.84,2,1,18,2.87,3,2,1,32,3049,0.4,616,sed_2
SED_S19S.0031_D_Field,3,0.55,1,-10.44,-75.7,8,0.02,13,1,1,3,0.04,0.12,6.34,0,2,5,0.59,3,1,3,24,664,19.5,414,sed_2
SED_S19S.0031_M_Field,3,0.55,1,-10.44,-75.7,6,0.02,13,1,1,3,0.04,0.12,4.63,0,2,5,0.33,3,1,3,9,664,19.5,414,sed_2
SED_S19S.0031_U_Field,3,0.55,1,-10.44,-75.7,1,0.02,13,1,1,2,0.04,0.12,6.42,0,2,5,0.39,3,1,3,11,664,19.5,414,sed_2
SED_S19S.0032_D_Field,3,0.47,1,-12.63,-87.7,8,0.03,4,1,1,2,0.04,0.18,34.48,0,2,18,4.62,3,1,3,39.5,1788,7.5,641,sed_0
SED_S19S.0032_M_Field,3,0.47,1,-12.63,-87.7,4,0.03,4,1,1,2,0.04,0.18,14.81,0,2,18,1.14,3,1,2,10.5,1788,7.5,641,sed_2
SED_S19S.0032_U_Field,3,0.47,1,-12.63,-87.7,8,0.03,4,1,1,2,0.04,0.18,22.13,0,2,18,14.6,3,1,3,5,1788,7.5,641,sed_2
SED_S19S.0033_M_Field,3,22.6,1,1,1,3,0.41,13,1,1,1,0.04,0.12,5.22,0,2,18,0.55,3,2,4,19,344,9.6,2524,sed_2
SED_S19S.0033_U_Field,3,22.6,1,1,1,1,0.41,13,1,1,2,0.04,0.12,8.31,0,2,18,1.23,3,2,2,5,344,9.6,2524,sed_2
SED_S19S.0034_D_Field,3,0.5,1,-11.76,-84.5,4,0.05,16,2,1,2,0.04,1.17,16.35,1,1,18,37.92,3,1,2,9.2,958,7.2,1845,sed_2
SED_S19S.0034_M_Field,3,0.5,1,-11.76,-84.5,8,0.05,16,2,1,2,0.04,1.17,23.8,1,1,18,2.53,3,1,3,5.4,958,7.2,1845,sed_0
SED_S19S.0034_U_Field,3,0.5,1,-11.76,-84.5,3,0.05,16,2,1,2,0.04,1.17,15.26,1,1,18,8.76,3,1,3,4,958,7.2,1845,sed_2
SED_S19S.0035_M_Field,3,1.93,1,-7.12,-44.6,4,0.27,13,2,1,2,0.04,0.12,7.76,1,1,18,2.5,3,1,4,13,2043,7.8,859,sed_2
SED_S19S.0035_U_Field,3,1.93,1,-7.12,-44.6,3,0.27,13,2,1,2,0.04,0.12,9.27,1,1,18,3.7,3,1,4,19,2043,7.8,859,sed_2
SED_S19S.0036_D_Field,3,2.23,3,-17.24,-131.3,1,0.11,8,2,1,1,0.04,0.89,19.87,0,2,6,13.76,3,8,3,28,2043,7.8,859,sed_0
SED_S19S.0036_M_Field,3,2.23,3,-17.24,-131.3,1,0.11,8,2,1,1,0.04,0.89,13.93,0,2,6,1.55,3,8,3,23,1195,12.6,812,sed_0
SED_S19S.0036_U_Field,3,2.23,3,-17.24,-131.3,1,0.11,8,2,1,1,0.04,0.89,16.05,0,2,6,5.75,3,8,3,26,1195,12.6,812,sed_0
