,Mass,C,H,O,N,C13,S,P,Na,El_comp,Class,NeutralMass,Error_ppm,Candidates,AI,AI_Mod,DBE,DBE_O,DBE_AI,GFE,kmass.CH2,kdefect.CH2,NOSC,OtoC_ratio,HtoC_ratio,NtoC_ratio,PtoC_ratio,NtoP_ratio,bs1_class,bs2_class,bs3_class,delGcox0PerCmol,delGcoxPerCmol,lamO20,lamO2,delGd0,delGd,n.mf
C10H15O7N,260.0775722,10,15,7,1,0,0,0,0,CHON,Carb,261.0848486,0.01234476,1,0,0,4,-3,-4,54.6,259.7871672,0.212832789,0.2,0.7,1.5,0.1,0,NA,Carbohydrate;Amino Sugar,Amino Sugar,Other,54.6,-133.1830638,0.117093486,0.102852204,546,-1331.830638,2
C10H15O8N,276.0725557,10,15,8,1,0,0,0,0,CHON,Carb,277.0798321,-0.237024161,1,0,0,4,-4,-5,48.9,275.7642906,0.235709411,0.4,0.8,1.5,0.1,0,NA,Carbohydrate,Carbohydrate,Other,48.9,-130.8922951,0.118339131,0.106087964,489,-1308.922951,1
C10H15O9N,292.0674445,10,15,9,1,0,0,0,0,CHON,Carb,293.074721,-0.136130015,1,0,0,4,-5,-6,43.2,291.7413194,0.258680603,0.6,0.9,1.5,0.1,0,NA,Carbohydrate,Carbohydrate,Other,43.2,-128.6015264,0.12331573,0.109463197,432,-1286.015264,1
C10H16O4N2,227.1037081,10,16,4,2,0,0,0,0,CHON,Protein,228.1109846,0.098294766,1,0,0,4,0,-2,66,226.8501221,0.149877906,-0.2,0.4,1.6,0.2,0,NA,Protein,Protein,Protein,66,-133.7692168,0.114076155,0.106502072,660,-1337.692168,1
C10H16O5,215.0924726,10,16,5,0,0,0,0,0,CHO,Protein,216.0997491,0.113608766,1,0,0.066666667,3,-2,-2,77.4,214.8522984,0.14770157,-0.6,0.5,1.6,0,0,NA,Protein,Protein,Other,77.4,-146.3415228,0.089549361,0.081245414,774,-1463.415228,1
C10H16O5N2,243.0986597,10,16,5,2,0,0,0,0,CHON,Protein,244.1059362,-0.059591412,1,0,0,4,-1,-3,60.3,242.8272136,0.172786421,0,0.5,1.6,0.2,0,NA,Protein,Protein,Protein,60.3,-131.4784481,0.115696287,0.105833106,603,-1314.784481,1
C10H16O5S,247.0645256,10,16,5,0,0,1,0,0,CHOS,Protein,248.0718021,0.170151177,1,0,0,3,-2,-3,71.7,246.7886512,0.211348819,-0.4,0.5,1.6,0,0,NA,Protein,Protein,Other,71.7,-148.0461385,0.097177236,0.086499647,717,-1480.461385,2
C10H16O6,231.0873835,10,16,6,0,0,0,0,0,CHO,AminoSugar,232.0946599,0.121966997,1,0,0,3,-3,-3,71.7,230.8293492,0.170650765,-0.4,0.6,1.6,0,0,NA,Amino Sugar,Amino Sugar,Other,71.7,-144.0507541,0.097177236,0.08796575,717,-1440.507541,1
C10H16O6N2,259.0935801,10,16,6,2,0,0,0,0,CHON,AminoSugar,260.1008565,-0.077975343,1,0,0,4,-2,-4,54.6,258.8042739,0.195726135,0.2,0.6,1.6,0.2,0,NA,Amino Sugar,Amino Sugar,Protein,54.6,-129.1876794,0.117093486,0.104773535,546,-1291.876794,1
C10H16O6N2S2,323.0376912,10,16,6,2,0,2,0,0,CHONS,AminoSugar,324.0449676,0.030889126,1,0,0,4,-2,-6,43.2,322.6769844,0.323015612,0.6,0.6,1.6,0.2,0,NA,Amino Sugar,Amino Sugar,Protein,43.2,-132.5969108,0.12331573,0.107214761,432,-1325.969108,1
C10H16O7,247.0823368,10,16,7,0,0,0,0,0,CHO,Carb,248.0896133,-0.042088666,1,0,0,3,-4,-4,66,246.8064425,0.193557501,-0.2,0.7,1.6,0,0,NA,Carbohydrate;Amino Sugar,Amino Sugar,Other,66,-141.7599854,0.114076155,0.095932566,660,-1417.599854,1
C10H17O4N,214.1084656,10,17,4,1,0,0,0,0,CHON,Protein,215.115742,0.074382538,1,0,0,3,-1,-2,77.4,213.8693901,0.130609854,-0.6,0.4,1.7,0.1,0,NA,Protein,Protein,Other,77.4,-142.3461385,0.089549361,0.082629765,774,-1423.461385,1
C10H17O5N,230.1033909,10,17,5,1,0,0,0,0,CHON,Protein,231.1106673,0.023100439,1,0,0,3,-2,-3,71.7,229.8464554,0.153544646,-0.4,0.5,1.7,0.1,0,NA,Protein,Protein,Other,71.7,-140.0553698,0.097177236,0.089455086,717,-1400.553698,2
C10H17O6N,246.098296,10,17,6,1,0,0,0,0,CHON,AminoSugar,247.1055725,0.059811396,1,0,0,3,-3,-4,66,245.8235005,0.176499519,-0.2,0.6,1.7,0.1,0,NA,Amino Sugar,Amino Sugar,Other,66,-137.7646011,0.114076155,0.10117382,660,-1377.646011,1
C10H17O7N,262.0932448,10,17,7,1,0,0,0,0,CHON,Carb,263.1005213,-0.073734065,1,0,0,3,-4,-5,60.3,261.8005892,0.19941082,0,0.7,1.7,0.1,0,NA,Carbohydrate;Amino Sugar,Amino Sugar,Other,60.3,-135.4738324,0.115696287,0.100063795,603,-1354.738324,1
C10H17O8N,278.0881845,10,17,8,1,0,0,0,0,CHON,Carb,279.0954609,-0.159115974,1,0,0,3,-5,-6,54.6,277.7776687,0.222331282,0.2,0.8,1.7,0.1,0,NA,Carbohydrate,Carbohydrate,Other,54.6,-133.1830638,0.117093486,0.102852204,546,-1331.830638,1
C10H17O9N,294.0831174,10,17,9,1,0,0,0,0,CHON,Carb,295.0903938,-0.21238215,1,0,0,3,-6,-7,48.9,293.7547415,0.245258481,0.4,0.9,1.7,0.1,0,NA,Carbohydrate,Carbohydrate,Other,48.9,-130.8922951,0.118339131,0.106087964,489,-1308.922951,1
C10H17O9N2P,339.0599282,10,17,9,2,0,0,1,0,CHONP,Carb,340.0672047,-0.111833458,2,0,0,4,-5,-8,54.6,338.6813309,0.318669116,0.2,0.9,1.7,0.2,0.1,2,Carbohydrate,Carbohydrate,Nucleotide,54.6,-137.1784481,0.117093486,0.100964862,546,-1371.784481,1
C10H18O3N2,213.1244419,10,18,3,2,0,0,0,0,CHON,Protein,214.1317183,0.112708886,1,0,0,3,0,-2,77.4,212.8864652,0.113534803,-0.6,0.3,1.8,0.2,0,NA,Lipid;Protein,Lipid,Protein,77.4,-138.3507541,0.089549361,0.084035426,774,-1383.507541,2
C10H18O4,201.1131969,10,18,4,0,0,0,0,0,CHO,Protein,202.1204734,0.176405027,1,0,0,2,-2,-2,88.8,200.8886322,0.111367848,-1,0.4,1.8,0,0,NA,Protein,Protein,Other,88.8,-150.9230601,0.075936985,0.069150166,888,-1509.230601,1
C10H18O4N2,229.1193455,10,18,4,2,0,0,0,0,CHON,Protein,230.126622,0.15247428,1,0,0,3,-1,-3,71.7,228.8635088,0.136491187,-0.4,0.4,1.8,0.2,0,NA,Protein,Protein,Protein,71.7,-136.0599854,0.097177236,0.090968212,717,-1360.599854,1
C10H18O5,217.1081169,10,18,5,0,0,0,0,0,CHO,Protein,218.1153934,0.138896592,1,0,0,2,-3,-3,83.1,216.8656921,0.134307937,-0.8,0.5,1.8,0,0,NA,Protein,Protein,Other,83.1,-148.6322915,0.082489679,0.074989033,831,-1486.322915,1
C10H18O5N2,245.1142776,10,18,5,2,0,0,0,0,CHON,Protein,246.1215541,0.071594302,1,0,0,3,-2,-4,66,244.8405808,0.159419181,-0.2,0.5,1.8,0.2,0,NA,Protein,Protein,Protein,66,-133.7692168,0.114076155,0.106502072,660,-1337.692168,1
C10H18O6,233.1030488,10,18,6,0,0,0,0,0,CHO,AminoSugar,234.1103252,0.055819696,1,0,0,2,-4,-4,77.4,232.8427638,0.157236171,-0.6,0.6,1.8,0,0,NA,Amino Sugar,Amino Sugar,Other,77.4,-146.3415228,0.089549361,0.081245414,774,-1463.415228,1
C10H18O6S,265.07514,10,18,6,0,0,1,0,0,CHOS,AminoSugar,266.0824165,-0.028151403,1,0,0,2,-4,-5,71.7,264.7791548,0.220845245,-0.4,0.6,1.8,0,0,NA,Amino Sugar,Amino Sugar,Other,71.7,-148.0461385,0.097177236,0.086499647,717,-1480.461385,1
C10H18O7,249.0979835,10,18,7,0,0,0,0,0,CHO,Carb,250.10526,-0.028252212,1,0,0,2,-5,-5,71.7,248.8198385,0.180161502,-0.4,0.7,1.8,0,0,NA,Carbohydrate;Amino Sugar,Amino Sugar,Other,71.7,-144.0507541,0.097177236,0.08796575,717,-1440.507541,1
C10H18O7S,281.0700358,10,18,7,0,0,1,0,0,CHOS,Carb,282.0773123,0.040111616,1,0,0,2,-5,-6,66,280.7561905,0.243809472,-0.2,0.7,1.8,0,0,NA,Carbohydrate;Amino Sugar,Amino Sugar,Other,66,-145.7553698,0.114076155,0.093622929,660,-1457.553698,1
C10H18O8,265.0929432,10,18,8,0,0,0,0,0,CHO,Carb,266.1002197,-0.19593344,1,0,0,2,-6,-6,66,264.7969381,0.203061923,-0.2,0.8,1.8,0,0,NA,Carbohydrate,Carbohydrate,Carbohydrate,66,-141.7599854,0.114076155,0.095932566,660,-1417.599854,1
C10H19O3N,200.1291723,10,19,3,1,0,0,0,0,CHON,Protein,201.1364488,0.222271199,1,0,0,2,-1,-2,88.8,199.9057063,0.094293714,-1,0.3,1.9,0.1,0,NA,Lipid;Protein,Lipid,Other,88.8,-146.9276758,0.075936985,0.070355302,888,-1469.276758,2
C10H19O4N,216.1240952,10,19,4,1,0,0,0,0,CHON,Protein,217.1313717,0.167741115,1,0,0,2,-2,-3,83.1,215.8827691,0.117230881,-0.8,0.4,1.9,0.1,0,NA,Protein,Protein,Other,83.1,-144.6369071,0.082489679,0.076279121,831,-1446.369071,1
C10H19O4N3,244.1302798,10,19,4,3,0,0,0,0,CHON,Protein,245.1375563,-0.000813819,1,0,0,3,-1,-4,66,243.8576818,0.142318205,-0.2,0.4,1.9,0.3,0,NA,Protein,Protein,Protein,66,-129.7738324,0.114076155,0.111919506,660,-1297.738324,1
C10H19O5N,232.1190215,10,19,5,1,0,0,0,0,CHON,Protein,233.1262979,0.10632725,1,0,0,2,-3,-4,77.4,231.8598353,0.140164702,-0.6,0.5,1.9,0.1,0,NA,Protein,Protein,Other,77.4,-142.3461385,0.089549361,0.082629765,774,-1423.461385,1
C10H19O5NS,264.0911222,10,19,5,1,0,1,0,0,CHONS,Protein,265.0983987,-0.019892674,1,0,0,2,-3,-5,71.7,263.7962357,0.203764284,-0.4,0.5,1.9,0.1,0,NA,Protein,Protein,Other,71.7,-144.0507541,0.097177236,0.08796575,717,-1440.507541,1
C10H19O6N,248.1139872,10,19,6,1,0,0,0,0,CHON,AminoSugar,249.1212637,-0.105633635,1,0,0,2,-4,-5,71.7,247.8369409,0.163059098,-0.4,0.6,1.9,0.1,0,NA,Other,Amino Sugar,Other,71.7,-140.0553698,0.097177236,0.089455086,717,-1400.553698,1
C10H19O7N,264.1089388,10,19,7,1,0,0,0,0,CHON,Carb,265.1162153,-0.23880506,1,0,0,2,-5,-6,66,263.8140324,0.185967587,-0.2,0.7,1.9,0.1,0,NA,Carbohydrate,Amino Sugar,Other,66,-137.7646011,0.114076155,0.10117382,660,-1377.646011,1
C10H19O8N,280.1038615,10,19,8,1,0,0,0,0,CHON,Carb,281.111138,-0.253924105,1,0,0,2,-6,-7,60.3,279.791095,0.208904968,0,0.8,1.9,0.1,0,NA,Carbohydrate,Carbohydrate,Other,60.3,-135.4738324,0.115696287,0.100063795,603,-1354.738324,1
C10H19O9N,296.0987987,10,19,9,1,0,0,0,0,CHON,Carb,297.1060751,-0.316069061,1,0,0,2,-7,-8,54.6,295.7681721,0.231827911,0.2,0.9,1.9,0.1,0,NA,Carbohydrate,Carbohydrate,Other,54.6,-133.1830638,0.117093486,0.102852204,546,-1331.830638,1
C10H20O2NS2P,280.0600822,10,20,2,1,0,2,1,0,CHONSP,Lipid,281.0673586,-0.184529254,1,0,0,2,0,-4,100.2,279.7473646,0.25263541,-1.4,0.2,2,0.1,0.1,1,Lipid,Lipid,Lipid,100.2,-167.4907505,0.064148739,0.055475073,1002,-1674.907505,1
C10H20O3N2,215.1400805,10,20,3,2,0,0,0,0,CHON,Protein,216.147357,0.164506669,1,0,0,2,-1,-3,83.1,214.8998532,0.100146842,-0.8,0.3,2,0.2,0,NA,Lipid;Protein,Lipid,Protein,83.1,-140.6415228,0.082489679,0.077588373,831,-1406.415228,1
C10H20O4,203.1288378,10,20,4,0,0,0,0,0,CHO,Protein,204.1361143,0.219612524,1,0,0,1,-3,-3,94.5,202.9020224,0.097977642,-1.2,0.4,2,0,0,NA,Protein,Protein,Other,94.5,-153.2138288,0.069838556,0.06368837,945,-1532.138288,2
C10H20O4N2,231.1350267,10,20,4,2,0,0,0,0,CHON,Protein,232.1423032,0.017123088,1,0,0,2,-2,-4,77.4,230.8769393,0.123060737,-0.6,0.4,2,0.2,0,NA,Protein,Protein,Protein,77.4,-138.3507541,0.089549361,0.084035426,774,-1383.507541,1
C10H20O5S,251.0958765,10,20,5,0,0,1,0,0,CHOS,Protein,252.1031529,-0.033661994,1,0,0,1,-4,-5,83.1,250.8155006,0.184499437,-0.8,0.5,2,0,0,NA,Protein,Protein,Other,83.1,-152.6276758,0.082489679,0.073717691,831,-1526.276758,1
C10H20O6,235.1187272,10,20,6,0,0,0,0,0,CHO,AminoSugar,236.1260036,-0.064682188,1,0,0,1,-5,-5,83.1,234.8561915,0.14380849,-0.8,0.6,2,0,0,NA,Other,Amino Sugar,Other,83.1,-148.6322915,0.082489679,0.074989033,831,-1486.322915,1
C10H20O6S,267.0908069,10,20,6,0,0,1,0,0,CHOS,AminoSugar,268.0980834,-0.090799842,1,0,0,1,-5,-6,77.4,266.792571,0.20742904,-0.6,0.6,2,0,0,NA,Other,Amino Sugar,Other,77.4,-150.3369071,0.089549361,0.079881891,774,-1503.369071,1
C10H20O7,251.1136461,10,20,7,0,0,0,0,0,CHO,Carb,252.1209226,-0.077633746,1,0,0,1,-6,-6,77.4,250.8332504,0.166749638,-0.6,0.7,2,0,0,NA,Carbohydrate,Amino Sugar,Other,77.4,-146.3415228,0.089549361,0.081245414,774,-1463.415228,1
C10H21O12N3,374.1053424,10,21,12,3,0,0,0,0,CHON,Other,375.1126188,-0.255045699,2,0,0,2,-10,-13,26.1,373.687613,0.312387008,1.2,1.2,2.1,0.3,0,NA,Other,Carbohydrate,Other,26.1,-113.7384517,0.140794973,0.126506727,261,-1137.384517,1
C10H21O12S2P,427.0140085,10,21,12,0,0,2,1,0,CHOSP,Other,428.021285,-0.189174012,6,0,0,1,-11,-14,54.6,426.5372009,0.462799124,0.2,1.2,2.1,0,0.1,0,Other,Carbohydrate,Carbohydrate,54.6,-153.1599854,0.117093486,0.093737957,546,-1531.599854,2
