"","Mass","C","H","O","N","C13","S","P","Na","El_comp","Class","NeutralMass","Error_ppm","Candidates","AI","AI_Mod","DBE","DBE_O","DBE_AI","GFE","kmass.CH2","kdefect.CH2","NOSC","OtoC_ratio","HtoC_ratio","NtoC_ratio","PtoC_ratio","NtoP_ratio","bs1_class","bs2_class","bs3_class","delGcox0PerCmol","delGcoxPerCmol","lamO20","lamO2","delGd0","delGd","n.mf"
"C10H17O9N",294.0831174,10,17,9,1,0,0,0,0,"CHON","Carb",295.0903938,-0.21238215,1,0,0,3,-6,-7,48.9,293.7547415,0.245258481,0.4,0.9,1.7,0.1,0,NA,"Carbohydrate","Carbohydrate","Other",48.9,-130.892295098501,0.11833913086197,0.10608796442409,489,-1308.92295098501,1
"C10H17O9P",311.0538666,10,17,9,0,0,0,1,0,"CHOP","Carb",312.061143,-0.398537217,1,0,0,3,-6,-7,71.7,310.706541,0.293458971,-0.4,0.9,1.7,0,0.1,0,"Carbohydrate","Carbohydrate","Carbohydrate",71.7,-152.041522789246,0.0971772361292719,0.0850562382875127,717,-1520.41522789246,1
"C10H18O4",201.1131969,10,18,4,0,0,0,0,0,"CHO","Protein",202.1204734,0.176405027,1,0,0,2,-2,-2,88.8,200.8886322,0.111367848,-1,0.4,1.8,0,0,NA,"Protein","Protein","Other",88.8,-150.923060131334,0.0759369845319425,0.0691501664755324,888,-1509.23060131334,1
"C10H18O5",217.1081169,10,18,5,0,0,0,0,0,"CHO","Protein",218.1153934,0.138896592,1,0,0,2,-3,-3,83.1,216.8656921,0.134307937,-0.8,0.5,1.8,0,0,NA,"Protein","Protein","Other",83.1,-148.63229146029,0.082489679250122,0.074989033081861,831,-1486.3229146029,1
"C10H18O5S",249.0802097,10,18,5,0,0,1,0,0,"CHOS","Protein",250.0874862,0.032829498,1,0,0,2,-3,-4,77.4,248.8020845,0.197915486,-0.6,0.5,1.8,0,0,NA,"Protein","Protein","Other",77.4,-150.336907124768,0.0895493608691158,0.0798818914106859,774,-1503.36907124768,1
"C10H18O6",233.1030488,10,18,6,0,0,0,0,0,"CHO","AminoSugar",234.1103252,0.055819696,1,0,0,2,-4,-4,77.4,232.8427638,0.157236171,-0.6,0.6,1.8,0,0,NA,"Amino Sugar","Amino Sugar","Other",77.4,-146.341522789246,0.0895493608691158,0.0812454135194285,774,-1463.41522789246,1
"C10H18O6S",265.07514,10,18,6,0,0,1,0,0,"CHOS","AminoSugar",266.0824165,-0.028151403,1,0,0,2,-4,-5,71.7,264.7791548,0.220845245,-0.4,0.6,1.8,0,0,NA,"Amino Sugar","Amino Sugar","Other",71.7,-148.046138453723,0.0971772361292719,0.0864996474519725,717,-1480.46138453723,1
"C10H18O7S",281.0700358,10,18,7,0,0,1,0,0,"CHOS","Carb",282.0773123,0.040111616,1,0,0,2,-5,-6,66,280.7561905,0.243809472,-0.2,0.7,1.8,0,0,NA,"Carbohydrate;Amino Sugar","Amino Sugar","Other",66,-145.755369782679,0.114076154533263,0.0936229287126429,660,-1457.55369782679,1
"C10H18O8",265.0929432,10,18,8,0,0,0,0,0,"CHO","Carb",266.1002197,-0.19593344,1,0,0,2,-6,-6,66,264.7969381,0.203061923,-0.2,0.8,1.8,0,0,NA,"Carbohydrate","Carbohydrate","Carbohydrate",66,-141.759985447157,0.114076154533263,0.0959325659567617,660,-1417.59985447157,1
"C10H18O9N4S",369.0722975,10,18,9,4,0,1,0,0,"CHONS","Carb",370.079574,-0.337961947,2,0,0,4,-5,-10,20.4,368.6601881,0.339811931,1.4,0.9,1.8,0.4,0,NA,"Carbohydrate","Carbohydrate","Protein",20.4,-111.447683072234,0.147603704646572,0.130920281946636,204,-1114.47683072234,1
